date,timestamp,LANE001A(16b4),LANE001B(1e98),LANE001C(15ee),LANE002A(1ea9),LANE002B(1dc4),LANE002C(154d),LANE003A(14b1),LANE003B(168b),LANE003C(1511),LANE004A(15f5),LANE004B(161e),LANE004C(16b9),LANE005A(14ed),LANE005B(13b3),LANE005C(149d),LANE006A(160a),LANE006B(16bf),LANE006C(1300),LANE007A(1de6),LANE007B(1e5b),LANE007C(1e80),LANE008A(1d7c),LANE008B(1db3),LANE008C(1e4f),LANE009A(1db6),LANE009B(1e34),LANE009C(1e39),LANE010A(1e9e),LANE010B(1db0),LANE010C(1dae),occ(%)
Mon Sep  5 19:51:06 2016,1473105066,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mon Sep  5 20:31:35 2016,1473107495,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13
Mon Sep  5 20:31:39 2016,1473107499,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,20
Mon Sep  5 20:44:56 2016,1473108296,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,17
Mon Sep  5 20:45:02 2016,1473108302,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Mon Sep  5 20:45:04 2016,1473108304,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
Mon Sep  5 20:51:44 2016,1473108704,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Mon Sep  5 20:51:46 2016,1473108706,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Mon Sep  5 20:53:44 2016,1473108824,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Mon Sep  5 20:54:13 2016,1473108853,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
Mon Sep  5 20:54:54 2016,1473108894,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Mon Sep  5 21:01:28 2016,1473109288,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Mon Sep  5 21:01:29 2016,1473109289,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Mon Sep  5 21:10:04 2016,1473109804,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,23
Mon Sep  5 21:10:14 2016,1473109814,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27
Mon Sep  5 21:10:34 2016,1473109834,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30
Mon Sep  5 21:17:52 2016,1473110272,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,33
Mon Sep  5 21:17:54 2016,1473110274,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,37
Mon Sep  5 21:18:24 2016,1473110304,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,40
Mon Sep  5 21:18:29 2016,1473110309,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,43
Mon Sep  5 21:18:30 2016,1473110310,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,47
Mon Sep  5 21:19:09 2016,1473110349,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,0,53
Mon Sep  5 21:19:22 2016,1473110362,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,57
Mon Sep  5 21:20:58 2016,1473110458,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,53
Mon Sep  5 21:21:02 2016,1473110462,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,1,1,47
Mon Sep  5 21:21:43 2016,1473110503,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,43
Mon Sep  5 21:21:45 2016,1473110505,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,40
Mon Sep  5 21:21:48 2016,1473110508,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,37
Mon Sep  5 21:23:41 2016,1473110621,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,33
Mon Sep  5 21:23:55 2016,1473110635,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30
Mon Sep  5 21:24:42 2016,1473110682,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23
Mon Sep  5 21:24:46 2016,1473110686,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Mon Sep  5 21:27:21 2016,1473110841,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,27
Mon Sep  5 21:27:22 2016,1473110842,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30
Mon Sep  5 21:31:46 2016,1473111106,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33
Mon Sep  5 21:32:46 2016,1473111166,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30
Mon Sep  5 21:47:56 2016,1473112076,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33
Mon Sep  5 21:47:59 2016,1473112079,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,37
Mon Sep  5 21:48:18 2016,1473112098,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,40
Mon Sep  5 21:49:37 2016,1473112177,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,43
Mon Sep  5 21:49:39 2016,1473112179,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,50
Mon Sep  5 21:50:41 2016,1473112241,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,47
Mon Sep  5 21:50:45 2016,1473112245,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,43
Mon Sep  5 21:50:46 2016,1473112246,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,40
Mon Sep  5 21:57:49 2016,1473112669,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,37
Mon Sep  5 21:57:52 2016,1473112672,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,33
Mon Sep  5 21:57:54 2016,1473112674,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,30
Mon Sep  5 22:05:42 2016,1473113142,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,27
Mon Sep  5 22:05:48 2016,1473113148,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23
Mon Sep  5 22:05:55 2016,1473113155,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
Mon Sep  5 22:10:06 2016,1473113406,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23
Mon Sep  5 22:10:08 2016,1473113408,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,27
Mon Sep  5 22:10:09 2016,1473113409,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,30
Mon Sep  5 22:12:44 2016,1473113564,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,37
Mon Sep  5 22:12:48 2016,1473113568,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,40
Mon Sep  5 22:21:05 2016,1473114065,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,37
Mon Sep  5 22:21:53 2016,1473114113,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,40
Mon Sep  5 22:28:23 2016,1473114503,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,43
Mon Sep  5 22:28:24 2016,1473114504,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,47
Mon Sep  5 22:30:50 2016,1473114650,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,43
Mon Sep  5 22:30:53 2016,1473114653,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,40
Mon Sep  5 22:32:24 2016,1473114744,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,43
Mon Sep  5 22:32:29 2016,1473114749,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,0,0,0,47
Mon Sep  5 22:32:32 2016,1473114752,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,50
Mon Sep  5 22:39:46 2016,1473115186,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,0,0,0,47
Mon Sep  5 22:39:49 2016,1473115189,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,43
Mon Sep  5 22:40:04 2016,1473115204,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,40
Mon Sep  5 22:51:30 2016,1473115890,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,43
Mon Sep  5 22:51:31 2016,1473115891,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,47
Mon Sep  5 22:51:34 2016,1473115894,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,50
Mon Sep  5 23:06:14 2016,1473116774,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,47
Mon Sep  5 23:12:33 2016,1473117153,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,43
Mon Sep  5 23:12:36 2016,1473117156,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,40
Mon Sep  5 23:12:42 2016,1473117162,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37
Mon Sep  5 23:17:21 2016,1473117441,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,33
Mon Sep  5 23:17:26 2016,1473117446,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,30
Mon Sep  5 23:17:35 2016,1473117455,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,27
Mon Sep  5 23:21:24 2016,1473117684,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,30
Mon Sep  5 23:22:11 2016,1473117731,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,33
Mon Sep  5 23:22:18 2016,1473117738,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,30
Mon Sep  5 23:22:37 2016,1473117757,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,33
Mon Sep  5 23:22:39 2016,1473117759,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,37
Mon Sep  5 23:34:18 2016,1473118458,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,40
Mon Sep  5 23:34:19 2016,1473118459,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,47
Mon Sep  5 23:37:54 2016,1473118674,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,43
Mon Sep  5 23:37:57 2016,1473118677,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,40
Mon Sep  5 23:38:00 2016,1473118680,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,37
Tue Sep  6 00:00:00 2016,1473120000,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,50
Tue Sep  6 00:00:01 2016,1473120001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,33
Tue Sep  6 00:00:02 2016,1473120002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,50
Tue Sep  6 00:00:03 2016,1473120003,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,40
Tue Sep  6 00:00:04 2016,1473120004,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,38
Tue Sep  6 00:00:05 2016,1473120005,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,1,1,33
Tue Sep  6 00:00:07 2016,1473120007,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,-1,-1,-1,1,1,30
Tue Sep  6 00:00:10 2016,1473120010,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,1,1,27
Tue Sep  6 00:00:11 2016,1473120011,-1,-1,1,-1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,1,1,33
Tue Sep  6 00:00:14 2016,1473120014,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,0,0,0,-1,-1,1,1,38
Tue Sep  6 00:00:16 2016,1473120016,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,1,-1,-1,-1,-1,0,0,0,0,-1,1,1,36
Tue Sep  6 00:00:18 2016,1473120018,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,-1,1,-1,0,0,-1,0,0,0,0,-1,1,1,31
Tue Sep  6 00:00:19 2016,1473120019,-1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,-1,1,-1,0,0,-1,0,0,0,0,-1,1,1,29
Tue Sep  6 00:00:20 2016,1473120020,1,-1,1,1,-1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,-1,1,1,32
Tue Sep  6 00:00:22 2016,1473120022,1,1,1,1,1,-1,-1,-1,-1,-1,0,0,-1,0,0,0,0,0,1,-1,0,0,-1,0,0,0,0,-1,1,1,38
Tue Sep  6 00:00:23 2016,1473120023,1,1,1,1,1,-1,-1,0,-1,-1,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,1,38
Tue Sep  6 00:00:24 2016,1473120024,1,1,1,1,1,-1,0,0,-1,-1,0,0,-1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,1,36
Tue Sep  6 00:00:25 2016,1473120025,1,1,1,1,1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,1,37
Tue Sep  6 00:00:26 2016,1473120026,1,1,1,1,1,1,0,0,0,-1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,1,36
Tue Sep  6 00:00:28 2016,1473120028,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-1,1,1,34
Tue Sep  6 00:00:29 2016,1473120029,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,37
Tue Sep  6 00:34:45 2016,1473122085,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,40
Tue Sep  6 00:34:50 2016,1473122090,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,43
Tue Sep  6 00:35:32 2016,1473122132,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,47
Tue Sep  6 01:16:20 2016,1473124580,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,1,50
Tue Sep  6 01:16:43 2016,1473124603,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53
Tue Sep  6 01:42:29 2016,1473126149,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,57
Tue Sep  6 01:42:30 2016,1473126150,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,60
Tue Sep  6 01:42:32 2016,1473126152,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,63
Tue Sep  6 02:50:19 2016,1473130219,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,60
Tue Sep  6 02:50:20 2016,1473130220,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,57
Tue Sep  6 02:50:23 2016,1473130223,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,53
Tue Sep  6 02:56:36 2016,1473130596,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,57
Tue Sep  6 02:56:40 2016,1473130600,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,0,1,1,1,60
Tue Sep  6 02:58:43 2016,1473130723,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,63
Tue Sep  6 02:58:45 2016,1473130725,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,1,1,1,67
Tue Sep  6 02:58:46 2016,1473130726,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,70
Tue Sep  6 02:59:41 2016,1473130781,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,67
Tue Sep  6 02:59:43 2016,1473130783,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,63
Tue Sep  6 03:25:35 2016,1473132335,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,67
Tue Sep  6 03:25:43 2016,1473132343,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,70
Tue Sep  6 03:35:00 2016,1473132900,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,1,1,1,73
Tue Sep  6 03:35:05 2016,1473132905,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,77
Tue Sep  6 03:35:16 2016,1473132916,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,80
Tue Sep  6 03:42:54 2016,1473133374,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,77
Tue Sep  6 03:42:59 2016,1473133379,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,73
