timestamp,timestamp exit,arm,lane,Occupancy North,Occupancy South,Sense North,Sense South,total_occupancy
2017-12-29T21:55:57.180599,2017-12-29T21:59:04.082699,A0:E6:F8:2C:D2:9E,BB_SP_5.1,186.9021,0.0,200,0,186.9021
2017-12-29T20:38:56.844764,2017-12-29T21:54:34.995164,A0:E6:F8:2C:C4:55,BB_SP_3.2,0.0,4538.1504,0,1764,4538.1504
2017-12-29T21:50:57.431180,2017-12-29T21:55:55.001180,A0:E6:F8:2C:D2:9E,BB_SP_5.1,297.57,0.0,239,0,297.57
2017-12-29T21:51:16.687740,2017-12-29T21:55:45.397440,A0:E6:F8:2C:D0:F8,BB_SP_6.1,268.7097,0.0,161,0,268.7097
2017-12-29T21:40:20.020011,2017-12-29T21:50:15.943311,A0:E6:F8:2C:D0:F8,BB_SP_6.1,595.9233,0.0,249,0,595.9233
2017-12-29T21:39:58.772127,2017-12-29T21:50:53.904927,A0:E6:F8:2C:D2:9E,BB_SP_5.1,655.1328,0.0,240,0,655.1328
2017-12-29T20:44:36.747854,2017-12-29T21:37:49.936454,A0:E6:F8:2C:D0:F8,BB_SP_6.1,3193.1886,0.0,244,0,3193.1886
2017-12-29T21:36:30.306188,2017-12-29T21:39:52.450088,A0:E6:F8:2C:D2:9E,BB_SP_5.1,202.1439,0.0,192,0,202.1439
2017-12-29T21:32:36.180951,2017-12-29T21:36:32.147451,A0:E6:F8:2B:2F:D0,BB_SP_2.1,235.9665,0.0,308,0,235.9665
2017-12-29T21:32:56.116854,2017-12-29T21:36:28.964454,A0:E6:F8:2C:D2:9E,BB_SP_5.1,212.8476,0.0,233,0,212.8476
2017-12-29T20:44:36.980126,2017-12-29T21:32:46.928726,A0:E6:F8:2C:D2:9E,BB_SP_5.1,2889.9486,0.0,192,0,2889.9486
2017-12-29T20:59:20.833564,2017-12-29T21:32:13.319464,A0:E6:F8:2B:2F:D0,BB_SP_2.1,1972.4859,0.0,247,0,1972.4859
2017-12-29T17:38:31.164782,2017-12-29T20:57:10.544282,A0:E6:F8:2B:32:91,BB_SP_2.2,0.3234,11919.0561,1973,1978,11919.3795
2017-12-29T19:50:44.826406,2017-12-29T20:44:38.034706,A0:E6:F8:2C:D0:F8,BB_SP_6.1,3233.2083,0.0,315,0,3233.2083
2017-12-29T19:47:07.521838,2017-12-29T20:41:48.429538,A0:E6:F8:2B:32:A5,BB_SP_1.2,3280.9077,0.0,442,92,3280.9077
2017-12-29T19:11:01.636097,2017-12-29T20:41:21.078797,A0:E6:F8:2B:2F:D0,BB_SP_2.1,0.0,5419.4427,0,387,5419.4427
2017-12-29T19:57:50.202979,2017-12-29T20:11:00.798379,A0:E6:F8:2C:D2:9E,BB_SP_5.1,790.5954,0.0,193,0,790.5954
2017-12-29T19:53:04.862003,2017-12-29T19:57:48.876503,A0:E6:F8:2C:D2:9E,BB_SP_5.1,284.0145,0.0,232,0,284.0145
2017-12-29T19:50:58.170458,2017-12-29T19:52:49.401158,A0:E6:F8:2C:D2:9E,BB_SP_5.1,111.2307,0.0,227,0,111.2307
2017-12-29T19:41:32.243097,2017-12-29T19:50:44.975697,A0:E6:F8:2C:D0:D5,BB_SP_5.2,3.1311,549.6015,2097,628,552.7326
2017-12-29T19:49:31.190802,2017-12-29T19:50:42.456402,A0:E6:F8:2C:D0:F8,BB_SP_6.1,71.2656,0.0,202,0,71.2656
2017-12-29T19:41:35.646523,2017-12-29T19:49:37.109323,A0:E6:F8:2C:D0:F8,BB_SP_6.1,481.4628,0.0,230,0,481.4628
