,,Site:,10 Spots Northbound Rest Area,,,,,,
,,,,,,,,,
,,,,,,,,,
Date,Truck ID,SpaceNum,TimeIn,TimeOut,VehType,notes,,,Vehicle Type
8/19/2016,65,2,15:05:00,,0,,,,
8/19/2016,66,3,15:06:00,,0,,,,
8/19/2016,67,1,15:06:30,,4,,,,
8/19/2016,64,8,,15:07:00,4,,,,
8/19/2016,68,8,15:07:00,,4,,,,
8/19/2016,68,8,,15:07:30,4,,,,
8/19/2016,66,3,,15:11:30,0,,,,
8/19/2016,69,3,15:18:00,,4,,,,
8/19/2016,70,7,15:21:00,,4,,,,
8/19/2016,69,3,,15:22:00,4,,,,
8/19/2016,61,5,,15:24:00,4,,,,
8/19/2016,71,4,15:29:00,,4,,,,
8/19/2016,72,3,15:30:00,,7,,,,
8/19/2016,73,5,15:36:30,,4,,,,
8/19/2016,72,3,,15:36:30,7,,,,
8/19/2016,74,3,15:45:00,,0,,,,
8/19/2016,73,5,,15:47:30,4,,,,
8/19/2016,65,2,,15:53:00,0,,,,
8/19/2016,71,4,,15:54:30,4,,,,
8/19/2016,75,5,15:58:00,,6,,,,
8/19/2016,74,3,,16:00:00,0,,,,
8/19/2016,75,5,,16:01:00,6,,,,
8/19/2016,76,4,16:01:30,,4,,,,
8/19/2016,77,3,16:04:00,,4,,,,
8/19/2016,70,7,,16:07:00,4,,,,
8/19/2016,77,3,,16:08:30,4,,,,
8/19/2016,78,8,16:13:00,,4,,,,
8/19/2016,79,2,16:13:00,,4,,,,
8/19/2016,78,8,,16:15:00,4,,,,
8/19/2016,76,4,,16:18:30,4,,,,
8/19/2016,80,6,16:19:00,,4,,,,
8/19/2016,81,4,16:22:00,,4,,,,
8/19/2016,81,4,,16:24:00,4,,,,
8/19/2016,79,2,,16:28:00,4,,,,
8/19/2016,82,4,16:28:00,,5,,,,
8/19/2016,83,8,16:30:30,,4,,,,
8/19/2016,84,3,16:33:00,,4,,,,
8/19/2016,83,8,,16:33:30,4,,,,
8/19/2016,80,6,,16:37:00,4,,,,
8/19/2016,85,8,16:43:30,,4,,,,
8/19/2016,85,8,,16:52:00,4,,,,
8/19/2016,86,6,16:53:00,,4,,,,
8/19/2016,86,6,,16:59:30,4,,,,
8/19/2016,82,4,,17:06:00,5,,,,
8/19/2016,87,6,17:09:00,,4,,,,
8/19/2016,87,6,,17:10:00,4,,,,
8/19/2016,88,4,17:20:30,,6,,,,
8/19/2016,89,7,17:22:00,,4,,,,
8/19/2016,90,6,17:23:30,,4,,,,
8/19/2016,84,3,,17:29:00,4,,,,
8/19/2016,88,4,,17:31:00,6,,,,
8/19/2016,91,4,17:32:30,,4,,,,
8/19/2016,89,7,,17:34:00,4,,,,
8/19/2016,92,3,17:42:30,,4,,,,
8/19/2016,93,2,17:45:00,,4,,,,
8/19/2016,94,5,17:47:00,,4,,,,
8/19/2016,67,1,,17:50:00,4,,,,
8/19/2016,93,2,,17:57:30,4,,,,
8/19/2016,95,3,,18:04:30,4,,,,
8/19/2016,93,2,18:12:30,,4,,,,
8/19/2016,96,8,18:16:00,,4,,,,
8/19/2016,96,8,,18:19:00,4,,,,
8/19/2016,91,4,,18:48:00,4,,,,
8/19/2016,90,6,,18:56:00,4,,,,
8/19/2016,97,2,19:05:00,,4,,,,
8/19/2016,97,2,,19:17:30,4,,,,
8/19/2016,98,2,20:07:00,,4,,,,
8/19/2016,99,8,20:13:00,,4,,,,
8/19/2016,99,8,,20:32:00,4,,,,
8/19/2016,100,7,20:32:30,,4,,,,
8/19/2016,101,1,20:33:00,,4,,,,
8/19/2016,98,2,,20:38:30,4,,,,
8/19/2016,102,3,20:43:30,,4,,,,
8/19/2016,103,2,20:53:30,,4,,,,
8/19/2016,103,2,,20:55:00,4,,,,
8/19/2016,102,3,,20:57:00,4,,,,
8/19/2016,101,1,,21:01:30,4,,,,
8/19/2016,104,1,21:09:00,,0,,,,
8/19/2016,104,1,,21:12:00,0,,,,
8/19/2016,105,2,21:18:00,,0,,,,
8/19/2016,105,2,,21:27:30,0,,,,
8/19/2016,106,2,21:29:00,,4,,,,
8/19/2016,106,2,,21:35:30,4,,,,
8/19/2016,107,3,21:58:00,,2,,,,
8/19/2016,108,2,22:15:30,,4,,,,
8/19/2016,107,3,,22:46:00,2,,,,
8/19/2016,109,1,22:46:00,,4,,,,
8/19/2016,110,4,22:48:00,,4,,,,
8/19/2016,111,3,23:01:30,,7,,,,
8/19/2016,111,3,,23:03:30,7,,,,
8/19/2016,109,1,,23:09:00,4,,,,
8/19/2016,112,1,23:16:00,,4,,,,
8/19/2016,113,8,23:30:00,,4,,,,
