textBox1,textBox5,textBox2,textBox6,textBox3,textBox7,textBox4,textBox8
Lot Event Id,15091,Space,001         ,Entered Timestamp,8/19/2016 11:53:29 AM,Exited Timestamp,8/19/2016 11:56:04 AM
Lot Event Id,15092,Space,008         ,Entered Timestamp,8/19/2016 11:53:37 AM,Exited Timestamp,8/19/2016 12:03:14 PM
Lot Event Id,15093,Space,005         ,Entered Timestamp,8/19/2016 11:56:30 AM,Exited Timestamp,8/19/2016 12:08:12 PM
Lot Event Id,15094,Space,001         ,Entered Timestamp,8/19/2016 11:57:46 AM,Exited Timestamp,8/19/2016 12:24:38 PM
Lot Event Id,15095,Space,008         ,Entered Timestamp,8/19/2016 12:08:13 PM,Exited Timestamp,8/19/2016 12:15:45 PM
Lot Event Id,15096,Space,005         ,Entered Timestamp,8/19/2016 12:08:15 PM,Exited Timestamp,8/19/2016 12:08:15 PM
Lot Event Id,15097,Space,008         ,Entered Timestamp,8/19/2016 12:15:48 PM,Exited Timestamp,8/19/2016 1:10:19 PM
Lot Event Id,15098,Space,002         ,Entered Timestamp,8/19/2016 12:31:28 PM,Exited Timestamp,8/19/2016 12:36:42 PM
Lot Event Id,15099,Space,002         ,Entered Timestamp,8/19/2016 12:39:09 PM,Exited Timestamp,8/19/2016 12:54:10 PM
Lot Event Id,15100,Space,001         ,Entered Timestamp,8/19/2016 12:58:07 PM,Exited Timestamp,8/19/2016 1:04:43 PM
Lot Event Id,15101,Space,006         ,Entered Timestamp,8/19/2016 1:05:29 PM,Exited Timestamp,8/19/2016 1:17:57 PM
Lot Event Id,15102,Space,005         ,Entered Timestamp,8/19/2016 1:06:32 PM,Exited Timestamp,8/19/2016 1:37:49 PM
Lot Event Id,15103,Space,001         ,Entered Timestamp,8/19/2016 1:09:32 PM,Exited Timestamp,8/19/2016 1:13:24 PM
Lot Event Id,15104,Space,008         ,Entered Timestamp,8/19/2016 1:10:22 PM,Exited Timestamp,8/19/2016 1:10:22 PM
Lot Event Id,15105,Space,001         ,Entered Timestamp,8/19/2016 1:13:27 PM,Exited Timestamp,8/19/2016 1:13:30 PM
Lot Event Id,15106,Space,001         ,Entered Timestamp,8/19/2016 1:16:19 PM,Exited Timestamp,8/19/2016 2:23:52 PM
Lot Event Id,15107,Space,007         ,Entered Timestamp,8/19/2016 1:22:10 PM,Exited Timestamp,8/19/2016 2:40:36 PM
Lot Event Id,15108,Space,008         ,Entered Timestamp,8/19/2016 1:22:32 PM,Exited Timestamp,8/19/2016 1:41:12 PM
Lot Event Id,15109,Space,006         ,Entered Timestamp,8/19/2016 1:28:48 PM,Exited Timestamp,8/19/2016 1:28:51 PM
Lot Event Id,15110,Space,006         ,Entered Timestamp,8/19/2016 1:29:00 PM,Exited Timestamp,8/19/2016 1:51:57 PM
Lot Event Id,15111,Space,004         ,Entered Timestamp,8/19/2016 1:29:25 PM,Exited Timestamp,8/19/2016 2:07:55 PM
Lot Event Id,15112,Space,008         ,Entered Timestamp,8/19/2016 1:44:43 PM,Exited Timestamp,8/19/2016 1:46:29 PM
Lot Event Id,15113,Space,005         ,Entered Timestamp,8/19/2016 1:48:54 PM,Exited Timestamp,8/19/2016 2:05:39 PM
Lot Event Id,15114,Space,003         ,Entered Timestamp,8/19/2016 2:01:57 PM,Exited Timestamp,8/19/2016 2:07:08 PM
Lot Event Id,15115,Space,002         ,Entered Timestamp,8/19/2016 2:05:14 PM,Exited Timestamp,8/19/2016 2:16:51 PM
